year_released;count
1874;1
1878;1
1883;1
1887;1
1888;2
1890;5
1891;6
1892;3
1893;1
1894;13
1895;7
1896;14
1897;8
1898;13
1899;5
1900;14
1901;1
1902;2
1903;18
1904;8
1905;5
1906;7
1907;7
1908;6
1909;1
1910;7
1911;6
1912;14
1913;13
1914;19
1915;29
1916;32
1917;17
1918;16
1919;23
1920;29
1921;33
1922;34
1923;23
1924;39
1925;4
1926;5
1927;41
1928;66
1929;76
1930;81
1931;99
1932;135
1933;147
1934;141
1935;144
1936;152
1937;155
1938;127
1939;134
1940;152
1941;147
1942;146
1943;144
1944;142
1945;147
1946;128
1947;156
1948;157
1949;174
1950;184
1951;196
1952;194
1953;199
1954;191
1955;209
1956;218
1957;244
1958;22
1959;224
1960;218
1961;203
1962;229
1963;233
1964;254
1965;247
1966;306
1967;288
1968;338
1969;305
1970;351
1971;377
1972;381
1973;356
1974;348
1975;332
1976;333
1977;334
1978;321
1979;338
1980;36
1981;359
1982;368
1983;352
1984;362
1985;368
1986;391
1987;462
1988;467
1989;439
1990;426
1991;426
1992;453
1993;489
1994;544
1995;598
1996;633
1997;662
1998;722
1999;723
2000;788
2001;863
2002;903
2003;882
2004;992
2005;1124
2006;1269
2007;1319
2008;147
2009;1585
2010;1501
2011;1666
2012;1722
2013;1887
2014;1974
2015;1904
2016;1604
2017;532
2018;5
2020;1
